Layer,Name,GEOID,DIS_2015-2019,DIW_2015-2019,UNS_2015-2019,PCT-W_2015-2019,PCT-B_2015-2019,PCT-A_2015-2019,INC_2015-2019,PCI_2015-2019,POV_2015-2019,HDX_2015-2019,PMC_2019,PCT-H_2015-2019,POP_2016-2020
,,,"Disability (% of residents), 2015-2019","Ambulatory difficulty (% of residents), 2015-2019","Uninsured rate (% of residents), 2015-2019","Population percentages by demographic group, Non-Hispanic White (% of residents), 2015-2019","Population percentages by demographic group, Non-Hispanic Black (% of residents), 2015-2019","Population percentages by demographic group, Asian (% of residents), 2015-2019","Median household income, 2015-2019","Per capita income, 2015-2019","Poverty rate (% of residents), 2015-2019","Hardship Index (0 [lowest] to 100 [greatest] hardship), 2015-2019","Particulate matter (PM 2.5) concentration (µg/m3), 2019","Population percentages by demographic group, Hispanic or Latino (% of residents), 2015-2019","Population counts by demographic group (count of residents), 2016-2020"
Census tract,Tract 8026.09,17031802609,6.51498711253876,2.43824554698703,17.550441361675,35.6177044635825,1.79753548323886,14.5133245452225,58696.8441560228,28296.1418395168,6.43030149756708,66.9660861312248,9.50050831798861,47.0020109257103,6371.0
Census tract,Tract 8026.1,17031802610,9.00302114803625,6.28398791540786,3.50453172205438,82.1752265861027,0.302114803625378,12.9909365558912,98852.3326604406,43983.6344195745,2.29607250755287,12.9,9.5180645097074,2.17522658610272,1977.0
Census tract,Tract 8027.01,17031802701,10.0419620894227,4.52901172044567,8.76862972073506,60.1504847344813,0.79583273042975,18.3330921718999,100459.316843763,47871.1572128929,7.51166861143524,37.5,9.573881148,19.1868036463609,6542.0
Census tract,Tract 8027.02,17031802702,13.2785467128028,7.54757785467128,2.24913494809689,71.0686542095318,0.251942053327735,22.0239344950661,91257.6087313383,44539.449411034,9.2560553633218,35.1,9.600906831,3.90510182657989,4579.0
Census tract,Tract 8028.01,17031802801,7.91770573566085,4.42643391521197,2.76392352452203,83.686616791355,0.997506234413965,7.02410640066501,114102.241309701,57088.7760598061,2.64033264033264,10.1,9.607554918,7.00332502078138,4629.0
Census tract,Tract 8028.02,17031802802,7.11462450592885,2.7515962298571,4.45424141076315,75.3116448768623,4.39343265430222,8.45241714806932,115854.543534684,45843.0689234455,5.63014952700641,27.3,9.629013934,10.8087564609304,6701.0
Census tract,Tract 8029,17031802900,6.03829160530191,2.89641629847815,1.94730813287514,86.5324824087711,0.229095074455899,4.72917689412535,151576.263892278,58555.7457796313,2.34004254622811,7.4,9.569743169,4.66372115856652,5820.0
Census tract,Tract 8030.05,17031803005,10.9090909090909,6.34343434343434,4.64646464646465,89.8181818181818,0.444444444444444,7.19191919191919,78890.7251713658,58133.5809578739,5.61616161616162,10.5,9.4816261685411,2.54545454545455,2595.0
Census tract,Tract 8030.07,17031803007,10.5927887553473,7.55754736198818,6.92605418618863,78.284783051538,1.52780607048279,11.83540435934,113324.736751037,55090.3878080703,1.36484008963129,14.6,9.468493169,7.72051334283968,5396.0
Census tract,Tract 8030.08,17031803008,8.61880864062841,2.55291293912285,3.79663975561859,79.3803185686232,1.65830242199433,8.83700632773293,120050.734577076,52955.1672397347,1.52738380973162,11.4,9.514603005,7.35326205542221,4733.0
Census tract,Tract 8030.1,17031803010,10.5988243938281,4.62894930198384,6.17193240264511,70.6098457016899,1.13886847905952,9.66201322556943,120656.403203265,49813.3275361033,2.9536643898837,15.0,9.433663661,17.2483468038207,4627.0
Census tract,Tract 8030.12,17031803012,10.6341463414634,5.85365853658537,6.0,70.5853658536585,2.14634146341463,8.24390243902439,79288.4935335744,41604.449255751,5.58276199804114,24.2,9.451704098,17.609756097561,2041.0
Census tract,Tract 8030.13,17031803013,9.34906878111746,5.6241932509681,3.30075603909275,76.6734279918864,0.53475935828877,3.15323621611654,95568.3570620466,47071.3776259456,3.68799557440531,13.2,9.441531967,13.6087036695556,5486.0
Census tract,Tract 8030.14,17031803014,9.91573033707865,5.44943820224719,10.4775280898876,65.2247191011236,1.51685393258427,9.35393258426966,74785.7556733734,40377.2012688835,7.10674157303371,41.6,9.48025565416135,22.0505617977528,3348.0
Census tract,Tract 8030.15,17031803015,11.7219224726162,6.20170050405022,5.31575474311875,74.2617356783061,7.15579910631832,7.99637127487329,84428.9751602138,51556.0932835414,3.75767029385341,25.1999017275204,9.49815455618653,9.81370351448661,4391.0
Census tract,Tract 8030.16,17031803016,5.56621880998081,2.87907869481766,2.11132437619962,39.3348623853211,0.229357798165138,54.8929663608563,108913.220435236,44982.8285454424,1.45873320537428,22.9,9.505069126,4.09021406727829,2765.0
Census tract,Tract 8030.17,17031803017,8.97372335151215,3.96628656420426,4.97438439927285,68.3027598744009,0.347050074367873,13.4027433482069,98942.4934892078,58118.7309390182,4.49832775919732,5.4,9.529184973,15.2702032721864,5767.0
Census tract,Tract 8031,17031803100,6.44028103044497,4.24473067915691,1.4344262295082,90.807962529274,0.351288056206089,3.8056206088993,129274.717717784,59743.7472880942,2.19555035128806,6.1,9.563806011,2.86885245901639,3374.0
Census tract,Tract 8032,17031803200,17.0500403551251,8.49475383373689,2.86521388216304,87.608286252354,0.357815442561205,3.50282485875706,96534.6690033053,53321.1141329666,2.96610169491525,26.4,9.576421038,8.53107344632768,5077.0
Census tract,Tract 8033,17031803300,7.17202201313687,4.24285460678147,6.26664299662702,78.3064086632345,0.887626486774365,12.7108112906089,115502.385944675,61720.921227179,4.54464761228475,9.6,9.604752186,7.56257766731759,5635.0
Census tract,Tract 8034,17031803400,8.50094280326838,4.60402262727844,3.28409805153991,90.4619736015085,0.0471401634192332,3.91263356379635,133543.03742319,68841.5052685286,3.28409805153991,6.6,9.642054098,3.37837837837838,6407.0
Census tract,Tract 8035,17031803500,10.822662690756,3.75372741624276,1.35064023855464,94.3278404163053,0.433651344319167,2.41110147441457,121319.350473613,54286.3653585927,4.56134218804614,14.3,9.627128689,2.30702515177797,5532.0
Census tract,Tract 8036.03,17031803603,6.96129404968226,2.61409589832467,3.03292894280763,76.6608896591566,1.14095898324668,19.6995956094743,179711.746045831,76806.4189533929,1.0856977417487,2.0,9.468080874,0.0,6370.0
Census tract,Tract 8036.04,17031803604,10.8309317963497,7.61287223823247,4.92315081652257,77.2802262550082,1.48479849163328,9.61583785057742,84701.3254065086,46387.2160429468,6.12391930835735,16.2,9.486172678,9.09733679000707,4381.0
Census tract,Tract 8036.05,17031803605,8.05119735755574,3.38563170933113,12.6892375447289,66.9832094687586,5.3812276355629,9.7027250206441,83383.9165908738,45193.9109563211,7.50068813652629,24.4,9.496418579,16.5840902835122,6507.0
