Layer,Name,GEOID,PCT-W_2015-2019,PCT-B_2015-2019,PCT-A_2015-2019,PCT-H_2015-2019,HDX_2015-2019,INC_2015-2019,PCI_2015-2019,POV_2015-2019,DIS_2015-2019,DIW_2015-2019,UNS_2015-2019,PMC_2019,POP_2015-2019
,,,"Demographics, Non-Hispanic White (% of residents), 2015-2019","Demographics, Non-Hispanic Black (% of residents), 2015-2019","Demographics, Asian (% of residents), 2015-2019","Demographics, Hispanic or Latino (% of residents), 2015-2019","Hardship Index (score), 2015-2019","Median household income, 2015-2019","Per capita income, 2015-2019","Poverty rate (% of residents), 2015-2019","Disability (% of residents), 2015-2019","Ambulatory difficulty (% of residents), 2015-2019","Uninsured rate (% of residents), 2015-2019","Particulate matter (PM 2.5) concentration (µg/m3), 2019","Population (residents), 2015-2019"
Census tract,Tract 1506,17031150600,46.9849864632045,1.91976372138814,8.1959143490032,40.0196898843219,23.4,72083.0522416203,34904.9693205262,4.95024875621891,9.0081220772828,5.98080236278612,10.5340881122323,9.835335246,4063.0
Census tract,Tract 1507,17031150700,43.9356435643564,1.73267326732673,6.01485148514851,47.1782178217822,54.6,80131.7624614565,35409.8699616229,14.6795827123696,10.1673744691481,7.94404196852361,12.2658006495129,9.835349727,4040.0
Census tract,Tract 1508,17031150800,42.4387203988367,1.37100124636477,1.80722891566265,48.8990444536768,54.2,63557.0199871337,37173.8400585639,5.62941420855837,14.6032405484005,8.55837141670129,11.8404653095139,9.81068388,4814.0
Census tract,Tract 1510.01,17031151001,27.6846236175526,2.03353549768106,4.60221191580449,65.3585444166964,58.9,69388.8345349276,29077.3976352625,9.2015753669889,8.16981805208705,3.38922582946843,11.2022832679272,9.841998087,2803.0
Census tract,Tract 1510.02,17031151002,24.1823385118561,1.83973834832379,1.49223221586263,70.5846279640229,72.8,66276.6948690077,25984.3508507287,5.02861815208504,7.97219950940311,3.49550286181521,25.9607522485691,9.835940984,4892.0
Census tract,Tract 1511,17031151100,30.4029990627929,0.787253983130272,6.485473289597,61.7244611059044,62.3,67952.6255684465,29374.3980123783,11.4714151827554,9.22211808809747,5.69821930646673,16.0262417994377,9.845886885,5335.0
Census tract,Tract 1512,17031151200,43.3351769911504,0.580752212389381,6.27765486725664,48.783185840708,47.6,81553.1214090818,30423.4457729763,9.34035476718404,6.00110619469027,3.95464601769912,7.77101769911505,9.868431694,3616.0
Census tract,Tract 1601,17031160100,46.5510445407962,0.315333070555774,17.1856523452897,26.4091446590461,55.8,72924.1997382373,37821.9373100557,10.9578242018132,10.9184075679937,7.56799369333859,8.43515963736697,9.761661749,2537.0
Census tract,Tract 1602,17031160200,61.5944426066821,3.04333443599074,11.7763810783989,20.9725438306318,13.2,90389.9433439074,51900.8159009738,6.29815745393635,12.0603015075377,6.26465661641541,3.61809045226131,9.767427049,3023.0
Census tract,Tract 1603,17031160300,59.2508513053349,5.76049943246311,13.8195232690125,13.7911464245176,23.0,61063.2775349941,44663.553140043,8.9039083161916,9.63961324348081,5.18605332552007,8.84852036331673,9.758536885,3524.0
Census tract,Tract 1604,17031160400,47.3384030418251,4.2247570764681,6.54837346852556,37.410223912125,42.3,65568.1368264602,35118.17316267,12.9217059197963,7.43557245458386,2.36586396282214,14.9556400506971,9.742253825,4734.0
Census tract,Tract 1605.01,17031160501,27.4695197810401,4.67778054242349,12.8638964916646,50.957949738741,65.0,64013.1277091329,28403.8432085894,9.43020651903459,6.17068922617567,3.48345359542175,22.3936302562827,9.717709016,4019.0
Census tract,Tract 1605.02,17031160502,26.8972914990614,1.20675784392599,4.63931348887101,65.32582461786,63.8,60328.2016016327,30307.8277690277,12.7916331456154,6.27514078841512,2.49396621078037,18.9326897291499,9.734368579,3729.0
Census tract,Tract 1606.01,17031160601,48.8697204045211,2.85544318857823,5.80011897679952,39.8274836406901,23.2,73587.1470085849,37664.9513964374,7.97144556811422,5.45454545454545,1.60953800298063,15.3800298062593,9.690757104,3362.0
Census tract,Tract 1606.02,17031160602,37.3226238286479,3.7483266398929,9.66532797858099,45.3012048192771,20.0,70830.3470795714,36776.0716963553,6.96117804551539,7.12182061579652,3.40026773761714,12.8781793842035,9.701287978,3735.0
Census tract,Tract 1607,17031160700,42.9702288762691,4.16451557391155,8.6043710204784,41.5591120289107,17.1,76707.7723995652,45640.4722376273,9.3965669792957,10.1397982657937,5.34418686958061,17.0766236064413,9.727596448,5811.0
Census tract,Tract 1608,17031160800,28.5400256457227,2.76607437259571,8.7378640776699,57.9043780912255,50.6,66832.5098604672,29248.1728521041,8.51063829787234,6.50302253159919,4.01172375893021,21.3409049276424,9.740659563,5459.0
Census tract,Tract 1609,17031160900,57.1992110453649,3.1163708086785,8.00788954635109,27.7712031558185,15.2,91285.1873377848,44812.0533286009,11.2123613312203,3.28843106180666,2.37717908082409,7.32963549920761,9.767711202,2535.0
Census tract,Tract 1610,17031161000,59.8802395209581,1.93459235375403,4.92860432980193,31.3219714417319,15.8,94138.5123893609,50653.4143170878,6.67894979272225,9.21234454168586,5.20497466605251,5.6655918931368,9.781027322,2171.0
Census tract,Tract 1611,17031161100,62.1687929342493,7.01668302257115,7.0657507360157,18.0078508341511,3.0,152146.928902593,77806.6737948934,2.8459273797841,6.77134445534838,4.46516192345437,1.03042198233562,9.807607377,2038.0
Census tract,Tract 1612,17031161200,30.1826337712272,0.833066324895867,4.45370073694329,63.5052867670618,64.3,72025.7735974622,32519.4198629073,9.99357326478149,7.65780198654277,3.46042934956745,14.8349887856456,9.809347814,3121.0
Census tract,Tract 1613,17031161300,36.7631296891747,2.54555198285102,3.61736334405145,54.6891747052519,50.5,54709.5908959826,29393.4908937643,7.22237306543579,8.3084442030953,3.25821341297855,21.2869942981265,9.800478142,3732.0
Census tract,Tract 1701,17031170100,79.026411185914,6.05903676851372,4.86794407042983,10.0466079751424,45.5,57941.5914283813,38653.5383659797,8.17717206132879,25.3833049403748,20.5565019875071,8.12038614423623,9.855558743,1931.0
Census tract,Tract 1702,17031170200,55.5940330314331,0.026638252530634,9.35002663825253,35.0293020777837,26.1,74913.0415492801,31194.5860378447,1.78476291955248,9.53649440596697,4.50186467767714,11.4544485881726,9.855669126,3754.0
